"","GSM442574.CEL","GSM442574.CEL.gz","GSM442575.CEL","GSM442575.CEL.gz","GSM442576.CEL","GSM442576.CEL.gz","GSM442577.CEL","GSM442577.CEL.gz","GSM442578.CEL","GSM442578.CEL.gz","GSM442579.CEL","GSM442579.CEL.gz","GSM442580.CEL","GSM442580.CEL.gz"
"AB112960.CDS1.S1_at",2.38129850310451,2.38129850310451,2.4803902359832,2.4803902359832,2.53211132405645,2.53211132405645,2.63253194303602,2.63253194303602,2.56913394038685,2.56913394038685,2.4803902359832,2.4803902359832,2.52653081780075,2.52653081780075
"AF004856.CDS1.S1_s_at",2.99939164871326,2.99939164871326,3.00903520629001,3.00903520629001,3.00903520629001,3.00903520629001,3.10489097534934,3.10489097534934,2.99339747610298,2.99339747610298,3.11380654893691,3.11380654893691,3.052635979128,3.052635979128
"AF004857.CDS1.S1_s_at",3.01722703926267,3.01722703926267,2.93687603704836,2.93687603704836,2.90223683534728,2.90223683534728,2.93687603704836,2.93687603704836,2.96753233302808,2.96753233302808,2.90958631481143,2.90958631481143,2.71872376200949,2.71872376200949
"AF004857.CDS2.S1_s_at",3.9237487402075,3.9237487402075,3.84261894467061,3.84261894467061,3.94371219807041,3.94371219807041,4.0161342405929,4.0161342405929,3.95032488253292,3.95032488253292,4.14263220501332,4.14263220501332,3.94371219807041,3.94371219807041
"AF004857.CDS3.S1_s_at",3.13390429187604,3.13390429187604,3.19372987711424,3.19372987711424,3.05426388600856,3.05426388600856,3.19372987711424,3.19372987711424,3.19372987711424,3.19372987711424,3.21079373246673,3.21079373246673,3.2000069204057,3.2000069204057
"AF059716.CDS1.S1_at",3.36427103881415,3.36427103881415,3.72213057608674,3.72213057608674,3.52594411461998,3.52594411461998,3.53628609100961,3.53628609100961,3.52594411461998,3.52594411461998,3.52594411461998,3.52594411461998,3.52594411461998,3.52594411461998
"AF059717.CDS1.S1_at",2.72672915039851,2.72672915039851,3.20716531977896,3.20716531977896,2.96753233302808,2.96753233302808,3.24471817556676,3.24471817556676,2.96753233302808,2.96753233302808,2.96753233302808,2.96753233302808,2.62168290095497,2.62168290095497
"AF059721.CDS1.S1_at",2.99880281784133,2.99880281784133,2.96157996405574,2.96157996405574,3.14758929529669,3.14758929529669,3.19372987711424,3.19372987711424,2.95934744817879,2.95934744817879,3.14758929529669,3.14758929529669,3.16335604235608,3.16335604235608
"AF059724.CDS1.S1_at",3.6236847154324,3.6236847154324,3.58116798299022,3.58116798299022,3.51262487908135,3.51262487908135,3.59198627878501,3.59198627878501,3.72963274232348,3.72963274232348,3.59198627878501,3.59198627878501,3.41815919544457,3.41815919544457
"AF059725.CDS1.S1_at",3.50308883052308,3.50308883052308,3.59157520143624,3.59157520143624,3.39448112481082,3.39448112481082,3.41631179496682,3.41631179496682,3.36221579203121,3.36221579203121,3.54438413735455,3.54438413735455,3.45454412757168,3.45454412757168
"AF176590.CDS1.S1_s_at",3.44286612544197,3.44286612544197,3.16885073323321,3.16885073323321,3.16885073323321,3.16885073323321,3.08917314288008,3.08917314288008,3.0313754565122,3.0313754565122,3.47395978450673,3.47395978450673,2.93772425977799,2.93772425977799
"AF176591.CDS1.S1_s_at",4.23457367794302,4.23457367794302,4.01955628238931,4.01955628238931,4.14521111651797,4.14521111651797,4.10697878391312,4.10697878391312,4.00985140262637,4.00985140262637,4.28311838089442,4.28311838089442,3.96598566225925,3.96598566225925
"AF176592.CDS1.S1_s_at",2.60726959429208,2.60726959429208,2.8058918389868,2.8058918389868,2.63774865134463,2.63774865134463,2.61799040661179,2.61799040661179,2.86014614980287,2.86014614980287,2.8324660964934,2.8324660964934,2.59966745065107,2.59966745065107
"AF176592.CDS2.S1_s_at",2.30681561646874,2.30681561646874,2.24168013012563,2.24168013012563,2.48096468001008,2.48096468001008,2.24168013012563,2.24168013012563,2.37444876357041,2.37444876357041,2.2108681044079,2.2108681044079,2.19582901214539,2.19582901214539
"AF218359.CDS1.S1_at",3.22700743373285,3.22700743373285,3.22700743373285,3.22700743373285,3.4270298720461,3.4270298720461,3.19372987711424,3.19372987711424,3.22700743373285,3.22700743373285,3.23934116654548,3.23934116654548,3.15422712638369,3.15422712638369
"AF218359.CDS2.S1_at",3.39947240622132,3.39947240622132,3.54614779060068,3.54614779060068,3.33821076047412,3.33821076047412,3.63944113531441,3.63944113531441,3.62098474406975,3.62098474406975,3.61824506759217,3.61824506759217,3.5322410396661,3.5322410396661
"AF218359.CDS3.S1_at",3.2367754698858,3.2367754698858,3.34245178445948,3.34245178445948,3.16005309553311,3.16005309553311,3.2367754698858,3.2367754698858,3.09578234823193,3.09578234823193,3.2367754698858,3.2367754698858,3.50601193727991,3.50601193727991
