"","Sample","Condition"
"GSM442574.CEL","GSM442574.CEL","Control"
"GSM442574.CEL.gz","GSM442574.CEL.gz","Stress"
"GSM442575.CEL","GSM442575.CEL","Control"
"GSM442575.CEL.gz","GSM442575.CEL.gz","Stress"
"GSM442576.CEL","GSM442576.CEL","Control"
"GSM442576.CEL.gz","GSM442576.CEL.gz","Stress"
"GSM442577.CEL","GSM442577.CEL","Control"
"GSM442577.CEL.gz","GSM442577.CEL.gz","Stress"
"GSM442578.CEL","GSM442578.CEL","Control"
"GSM442578.CEL.gz","GSM442578.CEL.gz","Stress"
"GSM442579.CEL","GSM442579.CEL","Control"
"GSM442579.CEL.gz","GSM442579.CEL.gz","Stress"
"GSM442580.CEL","GSM442580.CEL","Control"
"GSM442580.CEL.gz","GSM442580.CEL.gz","Stress"
